Format: dim,color,coord1,coord2,...,coordn
5,1,0.22927664083423926,0.15816136722727414,0.8000157588875214,0.3772523101714804,0.2552451484729663
5,1,0.8262961885959605,0.33450005539790983,0.49483938621572865,0.4808500482912237,0.8679832299020755
5,0,0.5078097523071438,0.8931384638574519,0.750889803340902,0.8873401805314362,0.5934499274389035
5,0,0.331826639633236,0.41592698973912867,0.7292986014815743,0.7425305893774102,0.3139820932345041
5,0,0.9729222767334944,0.8945858382468201,0.2843432618992727,0.9855758374201441,0.5449924993249274
5,0,0.4863592021422245,0.3166031634921441,0.6267651478165744,0.30230526910752364,0.9258230343429861
5,0,0.6203389612239555,0.8452047089901394,0.9626458688343213,0.7139624272382386,0.4420889610050567
5,1,0.9569768822415013,0.9238761709810739,0.12184573079513616,0.15190630569870645,0.9975813737594823
5,0,0.001428737455140161,0.49424281709522366,0.5633717310377345,0.4240762176230356,0.3331012375368143
5,1,0.24065634003881842,0.578439250678389,0.1676629315579793,0.513238852478245,0.3433483268602643
5,0,0.8259878237679067,0.628745851870853,0.05784654666841771,0.9016172504925456,0.11552770243970223
5,0,0.012624778270520998,0.34659437322181275,0.9676453288946675,0.017202538299871617,0.8883096187913646
5,2,0.32043084638868846,0.37750025578248414,0.636765336845437,0.9903164890932922,0.6268928059672626
5,0,0.3925157209053566,0.7790023593130402,0.6294340158776698,0.924105916590516,0.37304225229400834
5,2,0.7301818595463533,0.6398478394442546,0.6281642255862645,0.5236510280261847,0.588661800612729
5,1,0.3476741030760412,0.47696443545827905,0.8523109043739098,0.4891257438294122,0.5987505476602681
5,2,0.1842499954031004,0.14496288246691902,0.5200648315348468,0.24602730287034125,0.2765955200716236
5,0,0.2656742320957738,0.4055151899408811,0.2681709854618016,0.19316261063592277,0.47328957394875215
5,1,0.43440385492099887,0.9239429100536534,0.8401710007713006,0.6050703999924201,0.3732998750691354
5,2,0.3299306749415134,0.2581576599046991,0.8414957550995011,0.5112619834911285,0.722581025115436
5,0,0.47703610149006603,0.17913606330362342,0.6730194635620699,0.38422665102014486,0.5564066949588243
5,2,0.07707762246080851,0.788790779448347,0.5965402798047043,0.011155415225035825,0.2622616193834387
5,2,0.6692335903204565,0.39595059619018225,0.17279727178478743,0.46304927921452455,0.4408222138794031
5,1,0.5317994531573366,0.7529776051060133,0.022532533303567193,0.4864679140255257,0.6653623946698439
5,1,0.02258874137944311,0.8366200194693686,0.7564736353996295,0.21273758649770758,0.03870788005775849
5,1,0.20012250939802823,0.6232164686603548,0.5495271480686388,0.6663184466598392,0.4167292082760178
5,0,0.626481930658393,0.3539881160430388,0.2529640615308727,0.3291877324421967,0.22989937723726528
5,2,0.2709977790393052,0.6624310097818972,0.32733321542222393,0.3418244885139171,0.2978443741300625
5,2,0.4090105971320741,0.7091246421977435,0.01410147106707993,0.2660342588603818,0.12141802963897386
5,2,0.49369430620977817,0.0794640134041037,0.941472497494959,0.8714400371536078,0.7338858641946276
5,0,0.36135868029847484,0.7647881375376122,0.6362912503329409,0.9175284030173788,0.6203603158431056
5,1,0.39139636571736336,0.5098691583930606,0.7418034338973342,0.2609750270623873,0.26700857031550296
5,1,0.11720393085098657,0.6815143083057636,0.41396784052045366,0.7336950810568386,0.47655384918662613
5,2,0.08181229019458469,0.7593665984012146,0.18835554044562253,0.002568018893831403,0.5361911423313387
5,0,0.5714215472563212,0.6915264247194584,0.20878030071461062,0.09648842705055183,0.780473724836925
5,1,0.5963154567614969,0.45295587568875606,0.3903166614018906,0.18989759124963146,0.5168240648635218
5,2,0.42919419568336137,0.6268631046657361,0.9498392404334951,0.6609629761921797,0.05642156527315989
5,0,0.3621264454674815,0.26816814265983235,0.8331837317920597,0.33719847033073425,0.05508417088410067
5,2,0.5100780388510034,0.7689145260350383,0.365224766447953,0.3789713276919948,0.011161804921011598
5,2,0.09321294132050295,0.8161248586826342,0.5203049421899629,0.3175975447261783,0.15559291580407675
5,0,0.6551198416170326,0.1921200538043193,0.4818072066918824,0.44193183409262193,0.6220957931572184
5,0,0.7245287949858095,0.5654048924690845,0.8867005744991762,0.8031922985035482,0.31228854977415976
5,1,0.8395389860849871,0.1121150778100225,0.27290537889738875,0.6538366052244872,0.19986101902135
5,2,0.4871429836345492,0.17464093337331454,0.9743686705633959,0.36727141901385896,0.05936817417755669
